[ELEVATOR] Elevator Command Manager initialized
=== AOA Controller CSV Simulation (Safe Mode) ===
idx,ts,mode,s1,s2,s3,aoa,fsm_state,elevator
1,1000,-,5.38,5.32,5.01,5.24,0,0.00
2,1020,TAKEOFF,5.20,5.48,5.33,5.34,0,0.00
3,1040,TAKEOFF,5.28,5.09,5.06,5.14,0,0.00
4,1060,TAKEOFF,4.97,5.07,5.36,5.13,0,0.00
5,1080,TAKEOFF,5.41,5.69,5.94,5.68,0,0.00
6,1100,TAKEOFF,5.49,5.46,5.53,5.49,0,0.00
7,1120,TAKEOFF,5.82,6.14,5.72,5.89,0,0.00
8,1140,TAKEOFF,6.20,6.00,5.92,6.04,0,0.00
9,1160,TAKEOFF,5.98,5.95,6.40,6.11,0,0.00
10,1180,TAKEOFF,6.08,6.21,6.35,6.21,0,0.00
11,1200,TAKEOFF,5.56,6.20,6.38,6.05,0,0.00
12,1220,TAKEOFF,6.44,6.65,6.96,6.68,0,0.00
13,1240,TAKEOFF,6.49,7.03,6.49,6.67,0,0.00
14,1260,TAKEOFF,6.61,6.77,6.19,6.52,0,0.00
15,1280,TAKEOFF,6.78,6.90,6.92,6.87,0,0.00
16,1300,TAKEOFF,7.70,6.87,7.04,7.20,0,0.00
17,1320,TAKEOFF,7.32,7.31,0.00,4.88,0,0.00
18,1340,TAKEOFF,7.56,7.35,7.05,7.32,0,0.00
19,1360,TAKEOFF,7.55,6.90,7.48,7.31,0,0.00
20,1380,TAKEOFF,7.81,7.74,7.25,7.60,0,0.00
21,1400,TAKEOFF,7.78,7.62,7.91,7.77,0,0.00
22,1420,TAKEOFF,7.94,0.00,7.63,5.19,0,0.00
23,1440,TAKEOFF,8.02,7.73,7.81,7.85,0,0.00
24,1460,TAKEOFF,7.78,7.93,8.10,7.94,0,0.00
25,1480,TAKEOFF,8.31,8.15,8.78,8.41,0,0.00
26,1500,TAKEOFF,8.03,8.57,7.68,8.09,0,0.00
27,1520,TAKEOFF,7.84,8.69,8.55,8.36,0,0.00
28,1540,TAKEOFF,9.21,8.39,8.85,8.82,0,0.00
29,1560,TAKEOFF,8.34,8.70,8.13,8.39,0,0.00
30,1580,TAKEOFF,8.86,15.22,8.87,10.98,0,0.00
31,1600,TAKEOFF,9.09,8.97,8.97,9.01,0,0.00
32,1620,TAKEOFF,9.74,9.47,9.50,9.57,0,0.00
33,1640,TAKEOFF,10.05,8.99,9.59,9.54,0,0.00
34,1660,TAKEOFF,15.20,14.90,15.28,15.13,3,-0.20
35,1680,TAKEOFF,15.46,14.69,15.05,15.07,3,-0.40
36,1700,TAKEOFF,14.46,13.65,0.00,9.37,0,-0.20
37,1720,TAKEOFF,14.67,14.26,14.44,14.46,1,0.00
38,1740,TAKEOFF,14.26,13.88,0.00,9.38,0,0.00
39,1760,TAKEOFF,0.00,14.09,14.44,9.51,0,0.00
40,1780,TAKEOFF,14.86,15.28,15.09,15.08,3,-0.20
41,1800,CLIMB,3.81,3.83,3.99,3.88,0,0.00
42,1820,CLIMB,3.92,3.76,4.29,3.99,0,0.00
43,1840,CLIMB,4.38,0.00,4.07,2.82,0,0.00
44,1860,CLIMB,3.65,4.42,3.83,3.97,0,0.00
45,1880,CLIMB,4.35,4.19,0.00,2.85,0,0.00
46,1900,CLIMB,4.64,4.67,4.04,4.45,0,0.00
47,1920,CLIMB,4.69,4.17,4.90,4.59,0,0.00
48,1940,CLIMB,4.37,4.61,4.15,4.38,0,0.00
49,1960,CLIMB,4.51,4.23,4.95,4.56,0,0.00
50,1980,CLIMB,4.81,4.74,5.04,4.86,0,0.00
51,2000,CLIMB,4.41,5.08,4.45,4.65,0,0.00
52,2020,CLIMB,5.07,4.46,5.29,4.94,0,0.00
53,2040,CLIMB,4.91,4.88,4.91,4.90,0,0.00
54,2060,CLIMB,5.39,0.00,5.26,3.55,0,0.00
55,2080,CLIMB,5.25,5.19,5.19,5.21,0,0.00
56,2100,CLIMB,5.10,4.77,5.46,5.11,0,0.00
57,2120,CLIMB,5.70,5.17,5.59,5.49,0,0.00
58,2140,CLIMB,5.51,4.85,5.30,5.22,0,0.00
59,2160,CLIMB,5.48,5.47,5.21,5.39,0,0.00
60,2180,CLIMB,5.52,10.43,5.53,7.16,0,0.00
61,2200,CLIMB,5.90,5.58,5.20,5.56,0,0.00
62,2220,CLIMB,5.89,6.29,0.00,4.06,0,0.00
63,2240,CLIMB,5.53,6.06,0.00,3.86,0,0.00
64,2260,CLIMB,5.80,6.30,5.57,5.89,0,0.00
65,2280,CLIMB,6.07,6.49,5.82,6.13,0,0.00
66,2300,CLIMB,6.46,6.05,6.07,6.19,0,0.00
67,2320,CLIMB,6.28,6.21,6.00,6.16,0,0.00
68,2340,CLIMB,6.09,6.34,6.95,6.46,0,0.00
69,2360,CLIMB,6.67,6.80,6.47,6.65,0,0.00
70,2380,CLIMB,6.11,6.39,5.88,6.13,0,0.00
71,2400,CLIMB,6.57,0.00,0.00,2.19,0,0.00
72,2420,CLIMB,0.00,6.65,6.48,4.38,0,0.00
73,2440,CLIMB,6.98,6.56,0.00,4.51,0,0.00
74,2460,CLIMB,7.08,6.17,6.46,6.57,0,0.00
75,2480,CLIMB,7.17,6.94,6.76,6.96,0,0.00
76,2500,CLIMB,6.83,6.73,7.43,7.00,0,0.00
77,2520,CLIMB,7.33,6.30,6.72,6.78,0,0.00
78,2540,CLIMB,7.63,6.92,6.79,7.11,0,0.00
79,2560,CLIMB,6.99,6.88,7.03,6.97,0,0.00
80,2580,CLIMB,0.00,7.46,7.53,5.00,0,0.00
81,2600,CLIMB,7.23,7.32,8.02,7.52,0,0.00
82,2620,CLIMB,7.36,7.15,7.11,7.21,0,0.00
83,2640,CLIMB,7.69,7.35,7.61,7.55,0,0.00
84,2660,CLIMB,7.23,7.40,7.83,7.49,0,0.00
85,2680,CLIMB,7.87,0.00,7.50,5.12,0,0.00
86,2700,CLIMB,8.31,7.74,7.68,7.91,0,0.00
87,2720,CLIMB,7.52,8.00,7.40,7.64,0,0.00
88,2740,CLIMB,7.73,7.74,8.18,7.88,0,0.00
89,2760,CLIMB,8.09,7.97,8.42,8.16,0,0.00
90,2780,CLIMB,8.08,0.00,8.24,5.44,0,0.00
91,2800,CRUISE,2.51,2.79,3.06,2.79,0,0.00
92,2820,CRUISE,2.83,2.80,2.73,2.79,0,0.00
93,2840,CRUISE,2.87,3.83,2.98,3.23,0,0.00
94,2860,CRUISE,2.31,2.72,2.92,2.65,0,0.00
95,2880,CRUISE,3.62,2.94,3.52,3.36,0,0.00
96,2900,CRUISE,3.04,2.82,2.94,2.93,0,0.00
97,2920,CRUISE,3.19,3.42,3.52,3.38,0,0.00
98,2940,CRUISE,3.83,3.06,3.33,3.41,0,0.00
99,2960,CRUISE,3.90,4.00,3.71,3.87,0,0.00
100,2980,CRUISE,3.44,3.60,3.11,3.38,0,0.00
101,3000,CRUISE,4.12,0.00,2.88,2.33,0,0.00
102,3020,CRUISE,3.62,3.61,4.52,3.92,0,0.00
103,3040,CRUISE,3.48,3.25,3.19,3.31,0,0.00
104,3060,CRUISE,3.93,3.71,2.96,3.53,0,0.00
105,3080,CRUISE,3.92,3.79,4.42,4.04,0,0.00
106,3100,CRUISE,0.00,3.53,4.02,2.52,0,0.00
107,3120,CRUISE,3.88,3.28,3.60,3.59,0,0.00
108,3140,CRUISE,3.90,3.86,0.00,2.59,0,0.00
109,3160,CRUISE,4.20,4.03,3.64,3.96,0,0.00
110,3180,CRUISE,3.62,3.91,4.05,3.86,0,0.00
111,3200,CRUISE,4.21,3.84,4.09,4.05,0,0.00
112,3220,CRUISE,3.66,4.17,4.43,4.09,0,0.00
113,3240,CRUISE,4.34,3.90,4.24,4.16,0,0.00
114,3260,CRUISE,4.25,4.10,4.22,4.19,0,0.00
115,3280,CRUISE,3.79,4.03,3.68,3.83,0,0.00
116,3300,CRUISE,4.02,4.57,4.35,4.31,0,0.00
117,3320,CRUISE,4.35,4.61,3.82,4.26,0,0.00
118,3340,CRUISE,4.33,0.00,4.27,2.87,0,0.00
119,3360,CRUISE,4.35,3.60,4.71,4.22,0,0.00
120,3380,CRUISE,4.33,10.25,4.62,6.40,0,0.00
121,3400,CRUISE,4.58,4.85,4.42,4.62,0,0.00
122,3420,CRUISE,4.74,4.62,5.03,4.80,0,0.00
123,3440,CRUISE,4.26,0.00,4.03,2.76,0,0.00
124,3460,CRUISE,4.88,4.77,4.37,4.67,0,0.00
125,3480,CRUISE,4.26,4.81,4.49,4.52,0,0.00
126,3500,CRUISE,4.61,4.98,4.93,4.84,0,0.00
127,3520,CRUISE,4.70,4.67,4.98,4.78,0,0.00
128,3540,CRUISE,4.35,4.87,4.87,4.70,0,0.00
129,3560,CRUISE,4.77,5.20,4.48,4.82,0,0.00
130,3580,CRUISE,5.48,5.15,5.48,5.37,0,0.00
131,3600,CRUISE,4.99,4.91,5.33,5.08,0,0.00
132,3620,CRUISE,5.27,4.89,4.97,5.04,0,0.00
133,3640,CRUISE,4.66,0.00,4.71,3.12,0,0.00
134,3660,CRUISE,5.04,4.93,5.08,5.02,0,0.00
135,3680,CRUISE,5.04,5.61,5.12,5.26,0,0.00
136,3700,CRUISE,4.98,4.76,5.22,4.99,0,0.00
137,3720,CRUISE,5.56,5.22,5.32,5.37,0,0.00
138,3740,CRUISE,5.67,4.81,5.61,5.36,0,0.00
139,3760,CRUISE,4.94,4.94,5.38,5.09,0,0.00
140,3780,CRUISE,5.10,5.57,5.25,5.31,0,0.00
141,3800,CRUISE,0.00,0.00,5.19,1.73,0,0.00
142,3820,CRUISE,5.82,5.28,6.01,5.70,0,0.00
143,3840,CRUISE,5.66,5.49,6.07,5.74,0,0.00
144,3860,CRUISE,5.94,5.64,6.33,5.97,0,0.00
145,3880,CRUISE,5.14,5.80,0.00,3.65,0,0.00
146,3900,CRUISE,5.70,0.00,5.94,3.88,0,0.00
147,3920,CRUISE,5.98,5.50,5.39,5.62,0,0.00
148,3940,CRUISE,0.00,6.07,6.55,4.21,0,0.00
149,3960,CRUISE,5.96,5.84,0.00,3.93,0,0.00
150,3980,CRUISE,6.02,11.11,5.91,7.68,0,0.00
151,4000,LANDING,0.00,8.15,7.85,5.33,0,0.00
152,4020,LANDING,7.22,8.03,7.89,7.71,0,0.00
153,4040,LANDING,8.15,8.76,7.95,8.29,0,0.00
154,4060,LANDING,0.00,8.18,8.49,5.56,0,0.00
155,4080,LANDING,8.34,8.68,8.01,8.34,0,0.00
156,4100,LANDING,0.00,8.57,9.29,5.95,0,0.00
157,4120,LANDING,0.00,9.00,8.70,5.90,0,0.00
158,4140,LANDING,0.00,9.07,8.57,5.88,0,0.00
159,4160,LANDING,9.10,8.94,8.25,8.76,0,0.00
160,4180,LANDING,9.33,8.85,9.45,9.21,0,0.00
161,4200,LANDING,9.58,9.10,9.04,9.24,0,0.00
162,4220,LANDING,9.35,8.91,0.00,6.09,0,0.00
163,4240,LANDING,9.53,9.35,9.45,9.44,0,0.00
164,4260,LANDING,10.20,9.84,9.28,9.77,0,0.00
165,4280,LANDING,9.61,9.44,8.99,9.35,0,0.00
166,4300,LANDING,9.31,10.30,10.17,9.93,0,0.00
167,4320,LANDING,10.18,10.06,9.49,9.91,0,0.00
168,4340,LANDING,9.97,9.87,10.35,10.06,0,0.00
169,4360,LANDING,10.34,9.81,9.89,10.01,0,0.00
170,4380,LANDING,9.85,10.29,10.28,10.14,0,0.00
171,4400,LANDING,10.30,9.92,10.46,10.23,0,0.00
172,4420,LANDING,10.22,10.24,10.51,10.32,0,0.00
173,4440,LANDING,9.90,10.64,10.38,10.31,0,0.00
174,4460,LANDING,10.00,10.64,10.43,10.36,0,0.00
175,4480,LANDING,10.66,10.79,11.10,10.85,0,0.00
